Time,ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY B1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY B1::Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY B1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY B1::Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY B1 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY B1 1::Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY B1 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY B1 1::Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY GROUND:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY GROUND:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY GROUND:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY GROUND:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY GROUND 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY GROUND 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY GROUND 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY GROUND 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY TOP:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY TOP:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY TOP:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY TOP:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY TOP 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY TOP 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY TOP 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - MD OFFICE  - STORY TOP 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.734928E+04,7.727468E+03,4.944776E-01,5.439329E-01,1.191126E+04,5.989993E+03,3.394783E-01,4.216429E-01,3.181120E+04,5.256581E+03,9.065484E-01,3.700176E-01,2.093745E+04,3.589075E+03,5.966528E-01,2.526450E-01
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.757736E+04,7.671725E+03,5.009724E-01,5.400122E-01,1.206391E+04,5.924991E+03,3.438249E-01,4.170695E-01,3.221687E+04,5.254776E+03,9.181031E-01,3.698935E-01,2.118881E+04,3.556915E+03,6.038120E-01,2.503835E-01
00:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.778625E+04,7.605792E+03,5.069215E-01,5.353728E-01,1.220282E+04,5.855016E+03,3.477807E-01,4.121450E-01,3.255415E+04,5.217913E+03,9.277117E-01,3.673005E-01,2.139610E+04,3.512525E+03,6.097175E-01,2.472597E-01
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.798329E+04,7.532578E+03,5.125341E-01,5.302198E-01,1.233274E+04,5.782648E+03,3.514815E-01,4.070514E-01,3.284208E+04,5.165853E+03,9.359156E-01,3.636366E-01,2.157214E+04,3.459552E+03,6.147334E-01,2.435309E-01
01:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.817191E+04,7.485884E+03,5.179077E-01,5.269330E-01,1.245703E+04,5.728562E+03,3.550224E-01,4.032443E-01,3.309278E+04,5.123554E+03,9.430600E-01,3.606592E-01,2.172481E+04,3.414332E+03,6.190844E-01,2.403476E-01
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.835365E+04,7.437983E+03,5.230854E-01,5.235611E-01,1.257604E+04,5.674569E+03,3.584129E-01,3.994435E-01,3.331281E+04,5.076813E+03,9.493306E-01,3.573689E-01,2.185842E+04,3.367507E+03,6.228921E-01,2.370512E-01
01:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.852978E+04,7.389744E+03,5.281040E-01,5.201653E-01,1.269091E+04,5.620799E+03,3.616861E-01,3.956582E-01,3.350713E+04,5.027655E+03,9.548688E-01,3.539082E-01,2.197634E+04,3.320317E+03,6.262529E-01,2.337290E-01
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.870117E+04,7.341935E+03,5.329880E-01,5.167997E-01,1.280263E+04,5.567139E+03,3.648698E-01,3.918806E-01,3.368059E+04,4.977693E+03,9.598126E-01,3.503910E-01,2.208132E+04,3.273726E+03,6.292449E-01,2.304489E-01
02:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.886879E+04,7.293331E+03,5.377645E-01,5.133783E-01,1.291099E+04,5.513171E+03,3.679575E-01,3.880813E-01,3.383498E+04,4.925580E+03,9.642127E-01,3.467224E-01,2.217460E+04,3.226731E+03,6.319033E-01,2.271404E-01
02:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.903257E+04,7.244305E+03,5.424317E-01,5.099272E-01,1.301680E+04,5.459217E+03,3.709730E-01,3.842831E-01,3.397285E+04,4.871976E+03,9.681422E-01,3.429487E-01,2.225777E+04,3.179671E+03,6.342737E-01,2.238274E-01
